data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
12. Mobile phone (non-smart phone),,,,,,,,,,,
1. I do not own this object,56,32,47,47,74,48,100,72,77,42,71
3. I own enough of this and do not need more,23,31,25,33,16,40,0,8,19,17,25
2. I own this but need another / more,20,37,27,20,10,12,0,20,4,41,4
Don't know,0,0,0,1,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
2. Radio,,,,,,,,,,,
1. I do not own this object,69,47,93,75,73,73,100,55,60,66,81
3. I own enough of this and do not need more,20,25,5,19,27,17,0,36,31,9,9
2. I own this but need another / more,11,27,2,6,1,10,0,9,9,25,10
3. TV,,,,,,,,,,,
1. I do not own this object,43,20,56,37,71,54,100,8,30,38,58
3. I own enough of this and do not need more,34,44,28,31,16,20,0,84,51,10,41
2. I own this but need another / more,23,37,15,32,13,27,0,7,19,52,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
15. Desktop or laptop computer,,,,,,,,,,,
1. I do not own this object,88,65,90,95,96,95,100,90,75,96,87
3. I own enough of this and do not need more,7,19,4,4,3,3,0,9,13,0,13
2. I own this but need another / more,5,16,5,1,1,2,0,1,12,3,0
Prefer not to answer,0,0,1,0,0,0,0,1,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
16. Generator,,,,,,,,,,,
1. I do not own this object,93,83,94,95,98,96,100,98,87,95,89
3. I own enough of this and do not need more,4,7,4,3,1,3,0,1,4,1,11
2. I own this but need another / more,3,10,2,2,1,1,0,0,8,3,1
Other (please specify),0,1,0,0,0,0,0,0,1,0,0
Don't know,0,0,0,0,0,0,0,1,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
17. Construction materials and equipment,,,,,,,,,,,
1. I do not own this object,74,73,95,92,93,41,100,58,67,79,59
3. I own enough of this and do not need more,14,7,2,4,4,51,0,14,11,1,36
2. I own this but need another / more,12,20,2,3,2,9,0,28,22,19,5
Don't know,0,0,1,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
18. Carpets,,,,,,,,,,,
1. I do not own this object,39,29,37,26,76,18,100,13,18,40,83
2. I own this but need another / more,34,40,41,55,14,27,0,40,49,42,9
3. I own enough of this and do not need more,26,31,22,20,9,56,0,47,33,17,8
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
Have you worked in any of the following types of jobs in the past 30 days?,,,,,,,,,,,
1. Did not work outside the home in the past 30 days,6,1,22,15,0,1,50,0,3,2,9
2. Permanent job with annual/monthly/weekly wage,0.314901048,68,19,0.313953488,15,43,0,37,31,29,13
3. Temporary job with weekly/daily/monthly wage,25,9,21,20,39,24,0,43,13,34,19
4. Daily labour,42,37,43,33,45,38,0,61,49,33,44
Other (please specify),2,0,0,2,0,1,50,2,4,1,9
Don't know,0,0,0,1,0,0,0,0,0,0,1
Prefer not to answer,1,0,0,1,0,0,0,0,1,0,5
Have you worked for the following types of institutions in the past 30 days?,,,,,,,,,,,
1. Libyan-owned business (private sector),25,34,26,40,15,28,0,63,9,5,8
2. Foreign-owned business (private sector),2,5,3,1,0,2,0,2,1,0,0
"3. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",0,0,1,1,0,0,0,0,0,0,1
"4. International non-profit sector (international NGO, UN agency, etc.)",1,1,6,0,0,0,0,1,0,0,0
5. Own business or family business,24,39,6,3,38,5,0,47,25,8,39
6. Informal or irregular labour,55,39,63,44,47,63,0,46,48,84,57
Other (please specify),2,0,0,1,0,2,100,4,14,0,2
Don't know,3,0,1,12,0,3,0,3,3,0,10
Prefer not to answer,1,0,0,0,0,1,0,1,1,2,1
1. Permanent full time  with annual/monthly/weekly wage,,,,,,,,,,,
Average,0.046568627,0.214285714,0.010989011,0.024390244,0,0,0,0.017857143,0.052631579,0.333333333,0.185185185
2. Temporary job with weekly/daily/monthly wage,,,,,,,,,,,
Average,0.06127451,0,0.021978022,0.024390244,0.033333333,0.1875,0,0.089285714,0.052631579,0.066666667,0.185185185
3. Daily labour,,,,,,,,,,,
Average,0.105392157,0,0.043956044,0.085365854,0.1,0.125,0,0.125,0.526315789,0.133333333,0.037037037
type_jobs_minors_calc,,,,,,,,,,,
Average,0.213235294,0.214285714,0.076923077,0.134146341,0.133333333,0.3125,0,0.232142857,0.631578947,0.533333333,0.407407407
1. Farming/ agriculture work,,,,,,,,,,,
Average,0.196969697,0.5,0.25,0.125,0,0,,0.045454545,0.272727273,0.2,0.833333333
2. Factory work/manufacturing of products,,,,,,,,,,,
Average,0.075757576,0,0,0,0,0.25,,0.090909091,0.181818182,0,0
3. Construction,,,,,,,,,,,
Average,0.318181818,0,0,0.625,0,0,,0.545454545,0,0.2,0.5
4. Transporting goods or people,,,,,,,,,,,
Average,0.181818182,0,0.75,0,0.5,0.5,,0.181818182,0,0.2,0
5. Oil production,,,,,,,,,,,
Average,0.045454545,0,0,0.125,0.5,0,,0,0,0,0
6. Mechanical work (repairing vehicles etc.),,,,,,,,,,,
Average,0.227272727,1,0,0.125,0,0.25,,0.090909091,0.272727273,0.8,0.333333333
"7, Domestic work/cleaning",,,,,,,,,,,
Average,0.212121212,0,0.25,0.25,0,0.25,,0.227272727,0.272727273,0.2,0.166666667
8. Other harsh or dangerous labour,,,,,,,,,,,
Average,0,0,0,0,0,0,,0,0,0,0
9. other Non harsh or dangerous labour,,,,,,,,,,,
Average,0.060606061,0,0.5,0.125,0,0,,0,0.090909091,0,0
type_sectors_minors_calc,,,,,,,,,,,
Average,1.260869565,1.5,1.75,1,1,1.25,,1.181818182,1.090909091,1.6,1.833333333
1. Permanent full time  with annual/monthly/weekly wage,,,,,,,,,,,
Average,0.466049383,1.014705882,0.171875,0.380952381,0.186046512,0.217391304,0,0.377952756,1.139534884,0.592592593,0.175324675
2. Temporary job with weekly/daily/monthly wage,,,,,,,,,,,
Average,0.280864198,0.147058824,0.3671875,0.246031746,0.046511628,0.347826087,0,0.299212598,0.244186047,0.476851852,0.084415584
3. Daily labour,,,,,,,,,,,
Average,0.520576132,0.867647059,0.265625,0.404761905,0.186046512,1,1,0.220472441,1.837209302,0.615740741,0.071428571
type_jobs_adults_calc,,,,,,,,,,,
Average,1.267489712,2.029411765,0.8046875,1.031746032,0.418604651,1.565217391,1,0.897637795,3.220930233,1.685185185,0.331168831
1. Salaried work,,,,,,,,,,,
Average,916.2571104,1276.443662,677.6491228,857.2763158,418.8888889,1171.322314,,1510.285714,915.0666667,879.8985507,404.6153846
2. Casual or daily labour,,,,,,,,,,,
Average,612.8449612,825.0689655,386.9583333,396.3513514,754,547.1100917,0,1058.333333,877.2222222,409.7019868,307.8703704
3. Income from own business or commerce,,,,,,,,,,,
Average,181.9969752,136.8020305,24.02793296,99.27338129,372.8915663,27.37967914,0,802.7586207,28.22485207,91.1559633,99.875
4. Support from family and friends in Libya,,,,,,,,,,,
Average,18.50735294,4.663212435,24.5483871,11.43571429,6.22406639,8.967391304,0,116.3030303,4.166666667,2.962962963,1.297619048
5. Support from family and friends in home country,,,,,,,,,,,
Average,2.674019608,0.041450777,6.129032258,4.642857143,0,3.532608696,0,4.242424242,0,5.324074074,1.523809524
6. Support/remittances from family and friends in Europe,,,,,,,,,,,
Average,4.40379902,0.041450777,4.35483871,0,0,1.630434783,0,21.51515152,4.166666667,8.796296296,0.321428571
7. Humanitarian assistance,,,,,,,,,,,
Average,8.664877758,2.538071066,39.63888889,4.785714286,0,15.50802139,0,10,4.319526627,2.5,2.267857143
10. Zakat,,,,,,,,,,,
Average,6.516994633,1.563451777,17.52777778,1.428571429,0.843373494,8.556149733,0,21.67664671,7.485207101,2.385321101,0.303571429
9. Other (please specify),,,,,,,,,,,
Average,2.969350962,0,17.42777778,0,0,0.427807487,0,7.185628743,0.591715976,0,2.735483871
incomes_group_calc,,,,,,,,,,,
Average,1107.136862,1493.494444,525.3302752,814.7352941,1227.099567,1109.581006,0,2230.432099,921.7065868,943.1388889,458.4107143
No income,,,,,,,,,,,
Average,4.842767296,0,19.13043478,16.56804734,0,0,50,0,6.586826347,0,8.928571429
1. Cash,,,,,,,,,,,
Average,89.65017462,99.2893401,79.33870968,65.98837209,99.56175299,88.60106383,0,96.13772455,90.76923077,94.81651376,87.14285714
2. Transferred to bank account in Libya; ,,,,,,,,,,,
Average,0.168800931,0.101522843,0.537634409,0.581395349,0,0.265957447,0,0.119760479,0,0,0
3. Transferred to bank account in country of origin;  ,,,,,,,,,,,
Average,0.722933644,0.609137056,1.021505376,1.395348837,0,3.308510638,0,0.419161677,0,0,0
4. Cheques,,,,,,,,,,,
Average,0.317229336,0,0,0,0.15936255,1.409574468,0,0.299401198,0,0.642201835,0.297619048
5. Phone top-up cards,,,,,,,,,,,
Average,0.413853318,0,0.860215054,0.639534884,0,0.037234043,0,1.820359281,0.059171598,0.137614679,0.535714286
6. Prepaid card or gift card,,,,,,,,,,,
Average,0.263678696,0,1.801075269,0.11627907,0,0,0,0.28742515,0,0,0.297619048
"7. Other in-kind (e.g., food)",,,,,,,,,,,
Average,1.814318976,0,3.940860215,0.377906977,0.278884462,6.29787234,0,0.718562874,0.828402367,2.568807339,1.458333333
8. Other (please specify),,,,,,,,,,,
Average,0.286961583,0,0.672043011,0.494186047,0,0.079787234,0,0.19760479,0.059171598,0,1.339285714
income_modality_group_calc,,,,,,,,,,,
Average,98.58847497,100,102.1505376,88.22674419,100,100,50,100,98.22485207,98.16513761,100
Did you face any challenges obtaining enough money to meet your needs over the last 30 days?,,,,,,,,,,,
No,56,84,24,53,41,53,50,77,72,72,36
Yes,42,15,75,45,59,47,50,23,26,25,61
Don't know,1,1,2,1,0,0,0,0,1,2,2
Prefer not to answer,0,1,0,0,0,0,0,0,1,1,1
What were the main challenges to obtaining enough money to meet your  needs in the last 30 days?,,,,,,,,,,,
1. Lack of work opportunity,55,63,70,62,49,44,0,36,39,44,67
2. Salary or wages too low,37,50,37,62,14,49,0,38,27,80,20
3. Salary or wages not regularly paid,47,60,22,19,67,66,0,72,50,18,60
4. Unable to withdraw enough money from bank account,1,0,1,0,0,7,0,0,0,0,0
5. No currently functioning banks/financial institutions in my area,2,0,0,0,0,1,0,26,0,2,0
Other (please specify),2,0,6,0,0,0,100,0,0,2,1
Don't know,0,0,0,0,0,1,0,0,0,0,0
Prefer not to answer,0,0,0,3,0,1,0,0,0,0,0
"When buying items for domestic consumption in Libya, do you buy for your household, share a budget with other people or buy only for yourself?",,,,,,,,,,,
2. I share nearly all expenses with other people (not family members or dependents),37,22,15,16,63,48,0,2,42,54,57
1. I buy for my household (family members or dependents),27,21,55,49,15,10,50,71,12,8,13
4. I buy only for myself,18,50,16,23,11,14,0,19,14,3,16
3. I share only certain types of expenses with other people (not family members or dependents),16,6,9,9,9,28,0,8,31,31,13
Other (please specify),1,0,2,0,2,0,50,0,1,2,0
Prefer not to answer,1,0,2,1,0,0,0,0,0,2,1
Don't know,0,1,1,1,0,0,0,1,0,0,0
1. Food items,,,,,,,,,,,
Average,266.0407451,558.4010152,203.8494624,266.5116279,200.2390438,144.893617,100,467.2155689,160.2011834,164.2844037,265.9761905
2. Rent,,,,,,,,,,,
Average,178.2706422,213.125,312.9407407,286.1732283,86.14583333,146.0309278,350,374.1428571,86.85840708,103.7160494,119.4227642
3. Shelter maintenance,,,,,,,,,,,
Average,9.147846333,4.060913706,5.376344086,13.86627907,0.398406375,7.393617021,0,50.5988024,3.224852071,1.26146789,4.589285714
4. Water (from all sources combined),,,,,,,,,,,
Average,20.50814901,4.92893401,16.8655914,29.11627907,18.23904382,11.46276596,0,78.77245509,2.01183432,1.688073394,32.86309524
"5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)",,,,,,,,,,,
Average,32.72351572,48.92893401,17.80645161,56.19186047,20.21912351,30.63829787,0,65.73652695,28.01775148,8.600917431,30.83333333
6. Utilities (electricity and gas connections),,,,,,,,,,,
Average,7.009895227,6.614213198,4.677419355,12.04069767,0.15936255,0.159574468,0,41.9760479,0.710059172,0.321100917,3.148809524
"7. Fuel (for cooking, for vehicles, etc.)",,,,,,,,,,,
Average,24.19441211,14.0964467,9.784946237,9.075581395,14.11553785,9.372340426,0,125.7964072,24.3964497,10.94036697,15.39880952
"8. Health-related expenditures (healthcare, medicine, etc.)",,,,,,,,,,,
Average,31.0145518,34.7715736,47.65053763,67.4127907,6.494023904,12.20744681,0,99.46107784,6.715976331,13.30733945,8.357142857
"9. Education-related expenditures (school fees, supplies, uniforms, etc.)",,,,,,,,,,,
Average,98.92401961,67.14285714,15.43956044,49.75609756,3,18.75,0,293.5357143,8.421052632,14,11.11111111
10. Transportation ,,,,,,,,,,,
Average,49.30151339,65.85279188,47.39784946,67.87790698,4.402390438,30.82446809,0,161.4071856,10.62130178,25.44036697,59.76190476
11. Mobile phone credit,,,,,,,,,,,
Average,54.6024447,71.9035533,32.44623656,69.51162791,53.90438247,29.94680851,0,105.9580838,54.37869822,32.91284404,50.18452381
"12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)",,,,,,,,,,,
Average,25.06810244,0,1.85483871,15.40697674,4.780876494,9.627659574,0,206.0479042,7.544378698,0.266055046,7.851190476
13. Debt repayment,,,,,,,,,,,
Average,47.48137369,7.664974619,21.58602151,45.46511628,0.199203187,9.069148936,0,64.15568862,7.928994083,35.77522936,277.5
14. All other expenditures (specify),,,,,,,,,,,
Average,4.881701632,0,2.903225806,20.46511628,0.199203187,1.595744681,0,20.89820359,2.630952381,0,0.209580838
what is your total amount of debt (in LYD)?,,,,,,,,,,,
Average,1776.290456,1513.636364,1041.176471,3611.166667,50,355.2380952,,1669.565217,411.3333333,89.94623656,26650.85714
What was the primary reason for taking on debt?,,,,,,,,,,,
1. Accessing food,35,36,18,23,100,71,,30,33,38,14
6. Paying for other basic needs,21,9,6,3,0,5,,13,33,38,0
4. Paying for rent,10,0,29,13,0,14,,7,33,5,0
7. Purchasing productive assets (for small business or income-generating activities),9,0,0,3,0,0,,30,0,4,43
2. Paying for healthcare,7,9,29,27,0,5,,2,0,2,0
9. Paying smuggler or connection house operator,6,27,0,3,0,5,,15,0,2,0
10. Paying for release from captivity,3,18,0,17,0,0,,0,0,0,0
"8. Purchasing non-productive assets (e.g. TV, household appliances, furniture, gold, etc.)",2,0,0,0,0,0,,0,0,6,0
Other (please specify),2,0,0,0,0,0,,0,0,1,43
5. Paying for shelter maintenance,2,0,0,7,0,0,,2,0,1,0
Prefer not to answer,1,0,6,3,0,0,,0,0,1,0
3. Paying for education,1,0,12,0,0,0,,0,0,1,0
What percentage of your income would you estimate you send to family in your country of origin per month?,,,,,,,,,,,
Average,28.35765943,33.92893401,7.410596026,32.28455285,50.6374502,46.31382979,,10.35928144,18.25581395,29.44859813,2.354166667
what percentage of your income would you estimate you save in Libya (do not spend/send) per month?,,,,,,,,,,,
Average,18.77201051,34.59390863,7.006578947,16.34146341,7.115537849,21.73404255,,10.92215569,38.77906977,33.84579439,2.826388889
What was the payment modality most commonly used by your household in the past 30 days?,,,,,,,,,,,
1. Cash (LYD),98,100,96,99,100,96,100,98,99,97,100
2. Cash (foreign/non-LYD),1,0,0,1,0,3,0,1,1,1,0
Prefer not to answer,0,0,2,0,0,0,0,0,0,1,0
7. Bank transfers,0,0,0,0,0,1,0,1,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
4. Prepaid or gift card,0,0,1,0,0,0,0,0,0,0,0
6. Cheques ,0,0,0,0,0,0,0,0,0,0,0
Do you have access to a marketplace or grocery store where you can find fresh produce in your mahalla or close to your mahalla?,,,,,,,,,,,
Yes,85,65,90,94,94,97,50,99,95,55,79
No,15,35,8,6,6,3,50,1,5,44,20
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,1
Don't know,0,0,1,0,0,0,0,0,0,0,1
What means of transport do you usually use to travel to the nearest marketplace or grocery store where you can find fresh produce?,,,,,,,,,,,
3. Walking,75,87,85,73,80,68,100,74,71,71,68
2. Car,13,12,5,25,6,9,0,8,3,28,30
4. Bicycle,6,1,5,1,10,10,0,4,19,0,2
6. Driven there by somebody I know,3,1,1,0,5,3,0,12,2,2,0
5. Public transport,2,0,4,1,0,7,0,2,4,0,0
Other (please specify),0,0,0,0,0,2,0,0,1,0,0
For how long do you have to travel using this means of transport to get to the nearest marketplace or grocery store where you can find fresh produce?,,,,,,,,,,,
1. Less than 15 minutes,67,90,73,71,75,70,100,48,80,81,8
2. 15-29 minutes,22,7,20,20,21,17,0,48,20,17,25
3. 30-59 minutes,9,3,7,7,4,5,0,4,0,2,53
4. 1-2 hours,2,0,1,1,0,7,0,0,0,0,14
5. More than 2 hours,0,0,0,1,0,0,0,0,0,0,0
"In the last 30 days, did you face any barriers to consistently accessing marketplaces?",,,,,,,,,,,
1. No barriers faced when accessing marketplace,76,95,68,84,96,95,100,62,49,75,51
2. Live too far from marketplace / no means of transport,7,4,5,5,4,0,0,1,5,11,33
3. Transportation too expensive,12,2,6,9,2,2,0,18,24,15,37
4. Damage to marketplace,0,1,1,0,0,0,0,0,2,0,0
5. Damage to roads leading to marketplace,0,0,1,0,0,0,0,1,1,1,1
6. Insecurity travelling to and from marketplace,7,0,20,2,0,0,0,14,23,1,11
7. Curfew prevented access to market,0,0,1,0,0,0,0,1,1,0,0
8. Marketplace never open at a time when we can visit,1,0,0,0,0,0,0,8,1,1,1
9. Presence of explosive hazards,0,0,0,0,0,0,0,1,0,0,1
10. Discriminatory practices from market vendors,3,0,5,2,0,0,0,20,5,0,0
11. lack of documents to travel,3,1,5,1,0,2,0,19,1,4,0
12. language barriers,4,0,4,1,0,2,0,26,0,0,2
Other (please specify),0,0,1,1,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,1,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,1,1
"In the last 30 days, did you face any barriers to regularly purchasing specific items on the market?",,,,,,,,,,,
"1. No, no barrier faced when purchasing market items",35,73,29,47,39,10,50,13,51,17,35
"2. Yes, some items are too expensive",60,27,65,49,60,81,50,85,36,77,63
"3. Yes, some items are not available",14,4,6,1,37,2,0,44,6,14,4
"4. Yes, we have no means of payment (e.g., not enough hard cash, vendors do not accept prepaid cards)",5,0,4,4,0,14,0,17,4,6,1
"5. Yes, discriminatory practices from market vendors",4,0,8,5,0,1,0,22,6,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,1,0,0,0,0,0,2,0
"Which items were too expensive to afford? (select category first, then list specific items)",,,,,,,,,,,
1. Food items: fresh vegetables/fruits,59,79,68,71,96,36,100,23,52,48,81
2. Food items: fresh fish/meat/eggs,90,100,84,87,97,97,100,75,75,92,94
3. Food items: other,34,32,13,15,96,42,0,19,8,22,25
4. NFIs: Hygiene items for women,9,8,25,27,1,1,0,20,5,2,2
5. NFIs: Hygiene items for men,29,23,19,27,83,12,0,2,27,1,69
6. NFIs: Household items,23,34,16,15,64,11,0,30,12,0,21
7. NFIs: Fuel,21,0,4,7,66,1,0,34,20,16,15
8. Water,1,0,2,2,0,0,0,0,7,0,2
9. Medicine or health-related items,20,32,27,13,10,8,100,65,7,16,1
Other (please specify),1,0,3,0,0,0,0,1,0,1,0
Which items were not consistently available?,,,,,,,,,,,
1. Food items: fresh vegetables/fruits,16,25,45,0,2,0,,19,30,37,29
2. Food items: fresh fish/meat/eggs,30,88,36,0,1,33,,38,30,63,100
3. Food items: other,54,0,18,0,99,33,,29,30,30,0
4. NFIs: Hygiene items for women,3,0,9,0,0,0,,8,0,0,0
5. NFIs: Hygiene items for men,16,25,9,50,30,0,,1,40,3,0
6. NFIs: Household items,5,12,0,0,1,0,,8,40,3,0
7. NFIs: Fuel,66,0,0,50,100,0,,59,50,37,43
8. Water,0,0,0,0,0,0,,0,0,0,14
9. Medicine or health-related items,32,0,45,50,10,33,,71,20,20,0
Other (please specify),1,0,18,0,0,0,,1,0,0,0
What types of financial service providers do you have access to in or around your mahalla?,,,,,,,,,,,
Banks,3,1,0,6,0,0,0,25,1,1,0
1. Hawala,29,1,8,31,98,4,0,39,31,2,28
2. Financial services provided by local businesses (e.g. petrol stations),3,2,0,1,0,7,0,13,6,0,2
3. Financial services provided by members of the Libyan community,29,59,12,9,0,52,0,49,15,31,43
4. Financial services provided by other refugees or migrants,19,23,12,25,0,45,0,8,18,3,49
5. Financial services provided by an employer,41,38,38,27,3,56,0,55,14,83,66
6. Financial services provided by a smuggler,5,0,0,0,0,0,0,27,9,4,8
Other (please specify),1,1,2,1,0,0,0,1,2,0,0
Don't know,6,1,31,17,0,0,100,0,3,0,4
Prefer not to answer,1,0,1,0,0,0,0,0,2,0,4
"If you save part of your income, how do you store your salary/money?",,,,,,,,,,,
1. In a safe place at home,52,59,63,74,61,38,,48,45,54,25
2. Transfer back to home country,22,41,5,10,1,5,,8,4,57,0
3. Carry it on me,23,37,3,0,25,46,,23,6,8,8
4. Put it in a bank account,2,7,3,0,1,0,,0,0,1,0
5. Give it to my employer,23,31,11,11,9,16,,52,13,22,33
6. Give it to my smuggler,3,0,0,0,0,0,,21,2,1,8
7. Ask refugee and migrant friends to store it,6,6,16,12,0,6,,7,13,2,17
8. Ask Libyan friends to store it,10,4,13,1,7,10,,41,7,2,8
Other (please specify),0,0,0,0,1,1,,1,0,1,0
Don't know,0,0,0,0,0,0,,0,0,0,17
Prefer not to answer,5,12,13,0,0,7,,0,11,0,17
"If you transfer some of your money back to your home country (send remittances), how do you send it home?",,,,,,,,,,,
2. Official money transfer agency,10,24,5,6,0,21,,15,2,1,0
3. Unofficial money transfer agency,70,85,26,73,100,76,,45,10,60,42
4. Hawala system,13,0,13,13,1,0,,21,47,38,33
5. Through a person I know who travels regularly back home,17,3,59,17,0,20,,65,29,7,42
6. Through bank account,0,0,0,0,0,1,,0,0,0,0
Other (please specify),0,0,0,0,0,2,,0,0,0,0
Don't know,0,0,3,1,0,0,,1,0,0,0
Prefer not to answer,1,0,0,0,0,0,,0,12,1,25
"If you transfer some of your money back to your home country (send remittances), what percent extra do you have to pay to transfer each unit of currency?",,,,,,,,,,,
Average,9.7141339,6,14.23076923,6.953488372,11.66831683,3.949685535,,16.075,10.71186441,13.05369128,17.5
"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)",,,,,,,,,,,
"No, had no need to use this coping strategy",55,88,27,48,22,30,50,66,53,79,85
Not applicable/This coping strategy is not available to me,35,9,54,45,77,70,0,5,7,20,15
Yes,9,2,14,6,1,0,0,28,37,0,0
"No, have already exhausted this coping strategy and cannot use it again",1,1,5,1,0,0,50,1,3,0,0
"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)",,,,,,,,,,,
"No, had no need to use this coping strategy",49,84,28,49,10,52,50,69,53,33,86
Not applicable/This coping strategy is not available to me,45,14,67,46,90,47,0,9,31,65,13
Yes,5,2,2,4,0,1,0,22,15,2,0
"No, have already exhausted this coping strategy and cannot use it again",1,0,4,1,0,0,50,0,1,0,1
3. Spent savings,,,,,,,,,,,
"No, had no need to use this coping strategy",44,77,22,40,30,54,50,43,45,23,74
Yes,31,18,17,24,8,40,0,44,49,73,12
Not applicable/This coping strategy is not available to me,22,1,59,32,62,4,0,13,4,2,13
"No, have already exhausted this coping strategy and cannot use it again",2,5,3,4,0,2,50,1,2,1,1
4. Borrowed money,,,,,,,,,,,
"No, had no need to use this coping strategy",57,77,24,48,27,76,50,63,51,83,66
Not applicable/This coping strategy is not available to me,23,3,35,19,69,6,0,18,17,11,12
Yes,19,20,40,32,1,14,50,18,31,5,21
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,2,4,0,1,1,1,0
5. Purchased food on credit or borrowed food,,,,,,,,,,,
"No, had no need to use this coping strategy",46,85,27,50,2,59,50,49,34,44,84
Not applicable/This coping strategy is not available to me,39,3,49,33,98,17,50,14,59,43,13
Yes,14,12,21,16,0,24,0,38,7,12,3
"No, have already exhausted this coping strategy and cannot use it again",1,1,3,1,0,1,0,0,0,0,0
"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)",,,,,,,,,,,
"No, had no need to use this coping strategy",48,78,20,39,36,63,50,46,44,33,83
Yes,40,21,52,38,63,33,0,38,38,58,5
Not applicable/This coping strategy is not available to me,12,1,28,23,1,4,50,17,18,9,12
7. Reduced expenses on health or medicine,,,,,,,,,,,
"No, had no need to use this coping strategy",57,80,25,47,76,80,50,44,48,29,85
Yes,25,10,35,29,12,9,50,31,33,63,2
Not applicable/This coping strategy is not available to me,16,3,39,24,12,10,0,24,20,5,11
"No, have already exhausted this coping strategy and cannot use it again",2,8,1,0,1,2,0,1,0,3,2
8. Child or children dropped out of school,,,,,,,,,,,
Not applicable/This coping strategy is not available to me,60,24,63,40,95,81,50,65,55,84,12
"No, had no need to use this coping strategy",38,74,33,49,4,18,50,35,44,15,86
Yes,2,2,4,10,1,1,0,1,1,0,1
"No, have already exhausted this coping strategy and cannot use it again",0,1,0,0,0,0,0,0,0,0,1
9. Delayed or skipped paying rent,,,,,,,,,,,
"No, had no need to use this coping strategy",50,66,27,39,41,58,100,63,10,88,59
Not applicable/This coping strategy is not available to me,28,20,35,20,55,9,0,31,47,6,15
Yes,22,13,36,39,2,33,0,6,42,6,27
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,3,0,0,0,1,0,0
10. Asked strangers for money or food,,,,,,,,,,,
"No, had no need to use this coping strategy",63,93,35,58,36,81,50,52,53,75,85
Not applicable/This coping strategy is not available to me,29,5,53,28,61,8,50,33,29,22,13
Yes,8,1,9,13,3,11,0,13,18,2,1
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,0,0,0,2,0,1,1
11. Took an additional job,,,,,,,,,,,
"No, had no need to use this coping strategy",39,49,22,52,20,26,50,37,57,25,81
Yes,34,43,23,16,55,26,0,50,10,65,5
Not applicable/This coping strategy is not available to me,25,7,54,31,25,45,50,13,33,9,12
"No, have already exhausted this coping strategy and cannot use it again",1,2,1,0,0,4,0,0,0,0,1
"12. HH adult member accepted socially degrading, exploitative, high-risk, or illegal work",,,,,,,,,,,
"No, had no need to use this coping strategy",50,79,32,59,14,64,50,34,58,44,86
Not applicable/This coping strategy is not available to me,48,18,63,39,86,35,50,65,40,56,14
Yes,2,4,4,2,1,2,0,2,2,0,0
"No, have already exhausted this coping strategy and cannot use it again",0,0,1,0,0,0,0,0,0,0,0
"13. HH minor member accepted socially degrading, exploitative, high-risk, or illegal work",,,,,,,,,,,
Not applicable/This coping strategy is not available to me,50,7,63,33,87,31,50,61,16,53,33
"No, had no need to use this coping strategy",48,93,33,63,13,69,50,39,84,40,67
Yes,1,0,2,4,0,0,0,0,0,7,0
"No, have already exhausted this coping strategy and cannot use it again",0,0,2,0,0,0,0,0,0,0,0
"14. Child marriage (i.e., marriage of a household member aged 17 or younger)",,,,,,,,,,,
Not applicable/This coping strategy is not available to me,54,29,63,38,87,25,50,66,21,67,33
"No, had no need to use this coping strategy",44,71,35,60,13,75,0,32,79,33,63
Yes,1,0,1,1,0,0,50,2,0,0,0
"No, have already exhausted this coping strategy and cannot use it again",1,0,1,1,0,0,0,0,0,0,4
What is the main reason why these coping strategies were used?,,,,,,,,,,,
1. Accessing food,78,92,78,72,97,85,50,93,76,45,94
2. Paying for healthcare,24,61,41,35,11,9,50,39,12,3,13
3. Paying for education,7,21,9,15,1,1,0,10,3,1,2
4. Paying for shelter,43,25,43,44,53,37,50,54,73,22,63
5. Paying for other basic needs,52,47,20,17,83,58,0,47,27,83,71
6. Paying smuggler(s),6,1,1,0,1,0,0,35,12,5,0
7. Paying a ransom,1,1,0,3,0,0,0,6,0,1,4
